0,1
0.001,1.001
0.002,1.002
0.003,1.00301
0.004,1.00402
0.005,1.00503
0.006,1.00604
0.007,1.00705
0.008,1.00806
0.009,1.00908
0.01,1.0101
0.011,1.01112
0.012,1.01214
0.013,1.01317
0.014,1.0142
0.015,1.01523
0.016,1.01626
0.017,1.01729
0.018,1.01833
0.019,1.01936
0.02,1.0204
0.021,1.02144
0.022,1.02249
0.023,1.02353
0.024,1.02458
0.025,1.02563
0.026,1.02668
0.027,1.02774
0.028,1.02879
0.029,1.02985
0.03,1.03091
0.031,1.03197
0.032,1.03304
0.033,1.0341
0.034,1.03517
0.035,1.03624
0.036,1.03731
0.037,1.03839
0.038,1.03946
0.039,1.04054
0.04,1.04162
0.041,1.0427
0.042,1.04379
0.043,1.04488
0.044,1.04596
0.045,1.04706
0.046,1.04815
0.047,1.04924
0.048,1.05034
0.049,1.05144
0.05,1.05254
0.051,1.05365
0.052,1.05475
0.053,1.05586
0.054,1.05697
0.055,1.05808
0.056,1.0592
0.057,1.06031
0.058,1.06143
0.059,1.06255
0.06,1.06367
0.061,1.0648
0.062,1.06592
0.0629999,1.06705
0.064,1.06818
0.065,1.06932
0.066,1.07045
0.067,1.07159
0.068,1.07273
0.069,1.07387
0.07,1.07502
0.071,1.07616
0.072,1.07731
0.073,1.07846
0.074,1.07961
0.075,1.08077
0.076,1.08193
0.077,1.08308
0.078,1.08425
0.079,1.08541
0.08,1.08657
0.081,1.08774
0.082,1.08891
0.083,1.09008
0.084,1.09126
0.085,1.09243
0.086,1.09361
0.087,1.09479
0.088,1.09598
0.089,1.09716
0.09,1.09835
0.091,1.09954
0.092,1.10073
0.093,1.10192
0.094,1.10312
0.095,1.10432
0.096,1.10552
0.097,1.10672
0.098,1.10793
0.099,1.10913
0.1,1.11034
0.101,1.11155
0.102,1.11277
0.103,1.11398
0.104,1.1152
0.105,1.11642
0.106,1.11764
0.107,1.11887
0.108,1.1201
0.109,1.12132
0.11,1.12256
0.111,1.12379
0.112,1.12503
0.113,1.12626
0.114,1.1275
0.115,1.12875
0.116,1.12999
0.117,1.13124
0.118,1.13249
0.119,1.13374
0.12,1.13499
0.121,1.13625
0.122,1.13751
0.123,1.13877
0.124,1.14003
0.125,1.1413
0.126,1.14256
0.127,1.14383
0.128,1.14511
0.129,1.14638
0.13,1.14766
0.131,1.14894
0.132,1.15022
0.133,1.1515
0.134,1.15279
0.135,1.15407
0.136,1.15536
0.137,1.15666
0.138,1.15795
0.139,1.15925
0.14,1.16055
0.141,1.16185
0.142,1.16315
0.143,1.16446
0.144,1.16577
0.145,1.16708
0.146,1.16839
0.147,1.16971
