0.1	1.1
0.2	1.22
0.3	1.362
0.4	1.5282
0.5	1.72102
0.6	1.94312
0.7	2.19743
0.8	2.48718
0.9	2.8159
1	3.18748
1.1	3.60623
1.2	4.07686
1.3	4.60454
1.4	5.195
1.5	5.8545
1.6	6.58995
1.7	7.40894
1.8	8.31983
1.9	9.33182
2	10.455
2.1	11.7005
2.2	13.0806
2.3	14.6086
2.4	16.2995
2.5	18.1694
2.6	20.2364
2.7	22.52
2.8	25.042
2.9	27.8262
3	30.8988
3.1	34.2887
3.2	38.0275
3.3	42.1503
3.4	46.6953
3.5	51.7049
3.6	57.2254
3.7	63.3079
3.8	70.0087
3.9	77.3895
4	85.5185
4.1	94.4704
4.2	104.327
4.3	115.18
4.4	127.128
4.5	140.281
4.6	154.759
4.7	170.695
4.8	188.234
4.9	207.538
5	228.782
5.1	252.16
